Mes;T;TM;Tm_1;R;H;DR;DN;DT;DF;DH;DD;I;Codigo
Enero;4.9;8.7;1.2;75;83;10.4;2.8;0.1;5.4;12.1;1.6;83;01
Febrero;5.7;10.3;1.1;63;79;9.5;3.4;0.2;4.7;11.5;1.7;108;01
Marzo;8.2;13.7;2.7;63;72;8.4;1.6;0.8;3.5;7.3;2.5;148;01
Abril;9.8;15.4;4.1;73;72;11.2;0.9;2.1;3;2.9;2;163;01
Mayo;13.3;19.3;7.2;70;71;9.2;0.1;4.5;2.9;0.4;1.4;196;01
Junio;16.6;23;10.2;43;70;6;0;3.9;3.4;0;2.7;218;01
Julio;19;25.7;12.3;38;70;4.1;0;3.6;3.3;0;3.9;244;01
Agosto;19.2;25.9;12.5;39;70;4.6;0;3.5;4.7;0;2.7;226;01
Septiembre;16.6;23.1;10.1;41;72;6.3;0;2;6.1;0;3;178;01
Octubre;12.9;18.3;7.5;71;77;9.3;0;1;6.2;0.7;1.7;144;01
Noviembre;8.2;12.4;4;91;82;10.5;0.9;0.4;5.3;4.8;1.5;92;01
Diciembre;5.5;9.1;1.9;82;84;10.5;1.7;0.4;5;9.8;1.5;75;01
Año;11.7;17.1;6.2;742;75;99.3;11.4;22.7;53.6;49.4;25.8;1886;01
Enero;5.2;10.5;-0.2;21;77;4.1;0.9;0.1;6.2;16.5;7.3;153;02
Febrero;6.8;12.5;1;25;71;4.6;1.4;0.1;4;11.2;6.3;165;02
Marzo;9.8;16.3;3.3;27;63;4.7;0.6;0.5;2.3;4.9;6.7;217;02
Abril;11.9;18.4;5.4;40;60;5.9;0.2;1.6;1.2;1.2;5.8;241;02
Mayo;16.1;22.8;9.2;43;55;6;0;3.1;0.8;0.1;4.6;271;02
Junio;21.4;29.1;13.8;35;49;3.4;0;3.2;0.6;0;8.9;318;02
Julio;25;33.2;16.9;9;44;1;0;2.2;0.2;0;16.5;358;02
Agosto;24.6;32.3;16.8;11;49;1.5;0;2.9;0.7;0;13.4;324;02
Septiembre;20.3;27;13.5;34;59;3.7;0;3.5;2.2;0;7;253;02
Octubre;14.8;20.6;8.9;42;70;5.3;0;1.7;4;0.2;5.6;201;02
Noviembre;9.2;14.5;4;34;76;5.1;0.4;0.2;4.2;5.4;5.4;152;02
Diciembre;6;10.9;1.2;31;80;5.2;0.6;0.2;6.3;12.9;5.6;134;02
Año;14.3;20.7;7.8;353;63;50.4;4.3;19;32.5;52.3;94.5;;02
Enero;11.7;17;6.3;23;67;3.6;0;0.2;0.2;0.4;8;181;03
Febrero;12.3;17.6;7.1;22;66;3;0;0.4;0.5;0.3;6.1;180;03
Marzo;14.2;19.6;8.9;23;65;3.4;0;0.4;0.6;0;6.5;227;03
Abril;16.1;21.3;10.9;29;63;4.1;0;1.6;0.2;0;5.5;247;03
Mayo;19.1;24.1;14.1;28;64;4;0;2.3;0;0;5.4;277;03
Junio;22.9;27.8;18.1;12;63;1.8;0;1.5;0;0;9.9;302;03
Julio;25.5;30.3;20.7;4;65;0.6;0;0.7;0.1;0;15.2;330;03
Agosto;26;30.8;21.2;7;67;1.1;0;1.1;0;0;12.7;304;03
Septiembre;23.5;28.5;18.5;56;69;3.3;0;2.7;0.1;0;6.5;250;03
Octubre;19.7;24.9;14.5;47;70;4.5;0;2.1;0.1;0;5.4;217;03
Noviembre;15.4;20.5;10.3;36;69;4.2;0;0.5;0.1;0;5.7;173;03
Diciembre;12.6;17.7;7.4;25;68;3.8;0;0.4;0;0.1;7;164;03
Año;18.3;23.3;13.2;311;66;37.5;0;13.8;1.9;0.9;95.2;2851;03
Enero;12.6;16.9;8.3;24;67;2.9;0;0.5;1;0;7.1;194;04
Febrero;13.3;17.6;9;25;67;2.9;0;0.5;1.3;0;6.1;191;04
