COD_INE;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;SUPERFICIE;PERIMETRO;LONGITUD_ETRS89;LATITUD_ETRS89;ALTITUD;HABITANTES;HOMBRES;MUJERES;TOTAL_PARO;H25;H25_44;H45;M25;M25_44;M45;AGRICULTURA;INDUSTRIA;CONSTRUCCION;SERVICIOS;SINEMPLEOANTERIOR;AÑO;EDAD_MEDIA;de0-18;de19-67;masde68;de0-12
01001000000;01010;01;ARABA/ÁLAVA;ALEGRÍA-DULANTZI;1994.5872;35069.0;-2.51243731;42.83981158;568.0;2913.0;1512.0;1401.0;161;1;28;31;9;60;32;2;25;8;98;28;2017;38.13594233;756;1895;262;527
01002000000;01020;01;ARABA/ÁLAVA;AMURRIO;9635.289;65134.0;-3.00007326;43.05427776;219.0;10291.0;5101.0;5190.0;750;17;151;141;26;223;192;27;105;76;436;106;2017;44.96113109;1740;6689;1862;1275
01003000000;01030;01;ARABA/ÁLAVA;ARAMAIO;7327.4027;41818.0;-2.56540037;43.05119653;333.0;1496.0;791.0;705.0;18;0;4;8;-1;3;3;0;8;3;7;-1;2017;45.08823529;290;929;277;187
01004000000;01040;01;ARABA/ÁLAVA;ARTZINIEGA;2728.73;22886.0;-3.12791718;43.12084358;210.0;1829.0;914.0;915.0;92;0;11;13;4;25;39;1;17;1;56;17;2017;42.7211591;375;1187;267;264
01006000000;01060;01;ARABA/ÁLAVA;ARMIÑÓN;1294.4326;24606.0;-2.87183475;42.72326199;467.0;239.0;128.0;111.0;6;-1;0;2;-1;3;1;0;0;0;6;-1;2017;42.11715481;47;165;27;37
01008000000;01080;01;ARABA/ÁLAVA;ARRATZUA-UBARRUNDIA;5740.9889;66639.0;-2.63878816;42.89116171;528.0;976.0;528.0;448.0;36;4;3;9;1;8;11;1;9;0;24;2;2017;44.89241803;175;659;142;105
01009000000;01090;01;ARABA/ÁLAVA;ASPARRENA;6533.64;53712.0;-2.31670754;42.88968768;602.0;1640.0;823.0;817.0;81;2;14;24;2;18;21;7;21;3;41;9;2017;44.86768293;290;1076;274;192
01010000000;01100;01;ARABA/ÁLAVA;AYALA/AIARA;14074.15;64072.0;-3.04306746;43.07768283;306.0;2969.0;1508.0;1461.0;119;2;19;27;1;27;43;2;18;7;85;7;2017;41.96699225;645;1890;434;468
01011000000;01110;01;ARABA/ÁLAVA;BAÑOS DE EBRO/MAÑUETA;945.9752;18610.0;-2.67863583;42.52925602;421.0;306.0;167.0;139.0;8;-1;0;1;2;2;3;3;1;-1;4;-1;2017;49.28104575;38;197;71;15
01013000000;01130;01;ARABA/ÁLAVA;BARRUNDIA;9742.34;57432.0;-2.49407452;42.91537538;575.0;898.0;502.0;396.0;21;0;5;7;1;1;7;1;3;2;15;0;2017;45.79287305;165;581;152;96
